n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_two_sided,coverage_one_sided,mean_width_two_sided,std_width_two_sided,q_value,num_two_sided,num_one_sided
100,50,0.5,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,3.9212619001211344,0,20
100,50,0.5,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.5,,0.5,,,inf,0,20
100,50,0.5,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.75,,0.75,,,41.24918776326375,0,20
100,50,0.5,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,6.423535155001485,0,20
100,50,0.5,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9,,0.9,,,1.4036239806437523,0,20
100,50,0.5,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.75,,0.75,,,inf,0,20
100,50,0.5,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,209.27608353768886,0,20
100,50,0.5,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,6.47599577703849,0,20
500,1,0.1,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.7830156622569264,0,100
500,1,0.1,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.93,0.0,1.0,0.009342417725186786,0.07954101510050007,2.471478270227359,7,93
500,1,0.1,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.93,0.0,1.0,0.026937039124219096,0.05922914512440655,2.497400203508777,7,93
500,1,0.1,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.99,,0.99,,,3.142822807708308,0,100
500,1,0.1,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.3923072509291337,0,100
500,1,0.1,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.96,0.0,1.0,-0.030148458987873626,0.13803275875365786,2.2877994040137457,4,96
500,1,0.1,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.96,0.0,1.0,-0.05220513168035742,0.18781976093497812,2.301535648326828,4,96
500,1,0.1,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.98,,0.98,,,2.9004159643503136,0,100
500,50,0.1,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,3.6863737185207404,0,100
500,50,0.1,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.93,0.0,0.9893617021276596,-1.1291332408635197,1.5055853932102155,2.3963660073785977,6,94
500,50,0.1,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.93,0.0,0.9893617021276596,-1.1035098990455083,1.5606194636668305,3.286562141564563,6,94
500,50,0.1,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.192392291747042,0,100
500,50,0.1,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,4.741275548608589,0,100
500,50,0.1,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,0.0,1.0,-1.049568031117749,0.565844562892039,3.152938082682003,5,95
500,50,0.1,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,0.0,1.0,1e-08,0.0,4.419297128981029,5,95
500,50,0.1,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,3.1766404233267704,0,100
500,1,0.3,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.99,,0.99,,,2.4599248574220285,0,100
500,1,0.3,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.92,0.0,0.9583333333333334,-0.542253762300137,0.2632776466675789,2.359516694718694,4,96
500,1,0.3,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.92,0.0,0.9583333333333334,-0.5396717141908318,0.2878086075373437,2.4155150120642355,4,96
500,1,0.3,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.95,,0.95,,,7.182033896518503,0,100
500,1,0.3,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.99,,0.99,,,2.4384424771897955,0,100
500,1,0.3,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.97,0.0,0.9797979797979798,-0.5832152260714507,0.0,2.414465221089952,1,99
500,1,0.3,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.97,0.0,0.9797979797979798,-0.6144478914022502,0.0,2.5850667465985104,1,99
500,1,0.3,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.96,,0.96,,,5.016041768131188,0,100
500,50,0.3,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.7983806694646036,0,100
500,50,0.3,False,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.87,0.0,0.9560439560439561,-inf,,2.2756055501065453,9,91
500,50,0.3,False,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.88,0.0,0.967032967032967,-2.280290259151592,2.8473565256341806,3.17583581959653,9,91
500,50,0.3,False,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,2.0369372464320934,0,100
500,50,0.3,True,km,Two-sided CSA (论文标准-Conformal p-value),0.1,1.0,,1.0,,,3.520264638183305,0,100
500,50,0.3,True,cox,Two-sided CSA (论文标准-Conformal p-value),0.1,0.85,0.0,0.9444444444444444,1e-08,0.0,inf,10,90
500,50,0.3,True,weibull,Two-sided CSA (论文标准-Conformal p-value),0.1,0.9,0.0,1.0,-0.2767771594873232,0.5622424599010072,3.0732121447983856,10,90
500,50,0.3,True,rsf,Two-sided CSA (论文标准-Conformal p-value),0.1,0.98,,0.98,,,2.5884417697355087,0,100
500,1,0.5,False,km,Two-sided CSA (论文标准-Conformal p-value),0.1,0.99,,0.99,,,3.0851048769183307,0,100
