n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_uncensored,coverage_censored,q_value,num_uncensored,num_censored
100,50,0.5,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,7.018119903218762,10,10
100,50,0.5,True,cox,Weighted CSA (论文标准方法-已修复),0.1,0.75,0.7,0.8,inf,10,10
100,50,0.5,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.95,1.0,0.9,30.948320077609512,10,10
100,50,0.5,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,4.71684431001214,10,10
500,1,0.1,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.8168360431193915,92,8
500,1,0.1,False,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.6040533489759476,92,8
500,1,0.1,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.594321143730273,92,8
500,1,0.1,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.5522288508946875,92,8
500,1,0.1,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,4.766523877046165,88,12
500,1,0.1,True,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.056899850220881,88,12
500,1,0.1,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.103644680719252,88,12
500,1,0.1,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,6.679103495218475,88,12
500,50,0.1,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,6.648546180127623,90,10
500,50,0.1,False,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.617263576260363,90,10
500,50,0.1,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.98,0.9777777777777777,1.0,2.3912076616677345,90,10
500,50,0.1,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.99,0.9888888888888889,1.0,1.4767607273073962,90,10
500,50,0.1,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.351482879915446,90,10
500,50,0.1,True,cox,Weighted CSA (论文标准方法-已修复),0.1,0.99,0.9888888888888889,1.0,2.905516538430987,90,10
500,50,0.1,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.99,0.9888888888888889,1.0,1.7187887642937063,90,10
500,50,0.1,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.96,0.9555555555555556,1.0,1.8722110026812624,90,10
500,1,0.3,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,8.96354408867717,67,33
500,1,0.3,False,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,7.388464352504549,67,33
500,1,0.3,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,7.5764363853963035,67,33
500,1,0.3,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.95,0.9552238805970149,0.9393939393939394,7.292864032833047,67,33
500,1,0.3,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.1070417018286856,66,34
500,1,0.3,True,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.328729248861998,66,34
500,1,0.3,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.6873183225777706,66,34
500,1,0.3,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.96,0.9393939393939394,1.0,5.157495198906973,66,34
500,50,0.3,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,6.997054385303607,71,29
500,50,0.3,False,cox,Weighted CSA (论文标准方法-已修复),0.1,0.97,0.971830985915493,0.9655172413793104,3.3828825351266896,71,29
500,50,0.3,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.96,0.9577464788732394,0.9655172413793104,3.3778477010281174,71,29
500,50,0.3,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,2.943046355965858,71,29
500,50,0.3,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,3.371845641419273,70,30
500,50,0.3,True,cox,Weighted CSA (论文标准方法-已修复),0.1,0.81,0.8571428571428571,0.7,1.709291246698535,70,30
500,50,0.3,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.94,0.9285714285714286,0.9666666666666667,1.3163596058359162,70,30
500,50,0.3,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,0.89,0.9,0.8666666666666667,1.4292407433718006,70,30
500,1,0.5,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,7.071926427485484,47,53
500,1,0.5,False,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.974109557152876,47,53
500,1,0.5,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,6.259898833289094,47,53
500,1,0.5,False,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,18.85367963951181,47,53
500,1,0.5,True,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.437898126613044,46,54
500,1,0.5,True,cox,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.437898126613044,46,54
500,1,0.5,True,weibull,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,5.376440215858959,46,54
500,1,0.5,True,rsf,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,14.579953425792661,46,54
500,50,0.5,False,km,Weighted CSA (论文标准方法-已修复),0.1,1.0,1.0,1.0,15.799465574579322,49,51
500,50,0.5,False,cox,Weighted CSA (论文标准方法-已修复),0.1,0.59,0.9387755102040817,0.2549019607843137,inf,49,51
500,50,0.5,False,weibull,Weighted CSA (论文标准方法-已修复),0.1,0.74,0.9591836734693877,0.5294117647058824,2.988217019932556,49,51
