n,cens_rate,p,hetero,real_censor,C_Cox,C_Weibull,C_RSF
100,0.1,1,False,0.12,0.917320028510335,0.917320028510335,0.9357329531955334
100,0.1,1,True,0.12,0.9404594467885607,0.9404594467885607,0.9542897327707455
100,0.1,50,False,0.1,0.9355349468446053,0.937570685365302,0.9461660257860213
100,0.1,50,True,0.13,0.9543478260869566,0.9586956521739131,0.9458937198067633
100,0.3,1,False,0.32,0.9067770622508433,0.9067770622508433,0.9283961974854339
100,0.3,1,True,0.24,0.952808988764045,0.952808988764045,0.9570224719101124
100,0.3,50,False,0.32,0.9417894358605821,0.9532878189004671,0.9403521379805965
100,0.3,50,True,0.3,0.963020030816641,0.976271186440678,0.9488443759630201
100,0.5,1,False,0.53,0.9077328646748682,0.9077328646748682,0.9332161687170475
100,0.5,1,True,0.47,0.952437106918239,0.952437106918239,0.9604952830188679
100,0.5,50,False,0.51,0.9627151051625239,0.969885277246654,0.9526768642447419
100,0.5,50,True,0.5,0.9587778855480117,0.983996120271581,0.9631425800193987
500,0.1,1,False,0.1,0.9179006712864668,0.9179006712864668,0.9340097395263952
500,0.1,1,True,0.11,0.95105914033033,0.95105914033033,0.9555917260713594
500,0.1,50,False,0.082,0.9106555944055944,0.9098601398601398,0.946923076923077
500,0.1,50,True,0.102,0.9496889782509178,0.9487823924888024,0.9549938513737916
500,0.3,1,False,0.296,0.9238482617938729,0.9238482617938729,0.9343057620703639
500,0.3,1,True,0.346,0.9425955842757135,0.9425955842757135,0.9464526117393646
500,0.3,50,False,0.294,0.9167932306357127,0.914623562594923,0.9531351703189412
500,0.3,50,True,0.288,0.9504840613931523,0.9510979929161747,0.9602597402597403
500,0.5,1,False,0.47,0.9196802311265779,0.9196802311265779,0.9368751949309739
500,0.5,1,True,0.536,0.9483757975063593,0.9483757975063593,0.9548392477377924
500,0.5,50,False,0.522,0.9290307039487093,0.9278077343561806,0.9605314358774807
500,0.5,50,True,0.516,0.9509121615351781,0.9520628027392685,0.9637548020711542
2000,0.1,1,False,0.0985,0.9140271723057404,0.9140271723057404,0.9300134213490883
2000,0.1,1,True,0.104,0.9467765203658601,0.9467765203658601,0.9534357177096962
2000,0.1,50,False,0.1015,0.9126184371548393,0.9113634363172256,0.9487942622043153
2000,0.1,50,True,0.1045,0.9460257805747005,0.9458754281898716,0.9571198428560321
2000,0.3,1,False,0.291,0.9139186346209488,0.9139186346209488,0.9292598350847775
2000,0.3,1,True,0.3045,0.9484032200655828,0.9484032200655828,0.9515592932819374
2000,0.3,50,False,0.2935,0.9128235941745084,0.9111136136822148,0.9510514379617151
2000,0.3,50,True,0.298,0.9480061116994294,0.9481103232243046,0.9616440287562508
2000,0.5,1,False,0.486,0.9145973659334743,0.9145973659334743,0.9354910156034743
2000,0.5,1,True,0.5165,0.9500330821583127,0.9500330821583127,0.9566460068782834
2000,0.5,50,False,0.4955,0.9129811961601535,0.9120629344188267,0.9600134822429786
2000,0.5,50,True,0.4935,0.9500853390144043,0.9504027755578333,0.9652619354463727
