model_type,beta_lo,beta_hi,coverage_uncensored,coverage_censored,num_uncensored,num_censored,q_value,c0_chosen,p_c0_marginal,mean_lpb,median_lpb
km,0.96,0.96,0.9069767441860465,1.0,43,57,1217.640194989849,1957.1000000000004,0.1,2.67,3.0
cox,0.88,0.95,0.8837209302325582,0.8771929824561403,43,57,1247.0984179601646,1957.1000000000004,0.1,189.4652694974831,100.52653666289484
weibull,0.89,0.95,0.8837209302325582,0.8947368421052632,43,57,1189.3679630410982,1957.1000000000004,0.1,189.0151472584205,132.33649733628886
rsf,0.89,0.95,0.8837209302325582,0.8947368421052632,43,57,1230.9865906936616,1957.1000000000004,0.1,204.63569980752172,82.57904948748387
