n,p,cens_rate,hetero,model_type,method,alpha,coverage,coverage_uncensored,coverage_censored,q_value,c0_chosen,p_c0_marginal,num_uncensored,num_censored
100,50,0.5,False,rsf,Traditional CSA,0.1,1.0,1.0,1.0,inf,12.22001998714332,0.3,9,11
100,50,0.5,True,km,Traditional CSA,0.1,1.0,1.0,1.0,6.02230170023711,7.629597937822145,0.5,10,10
100,50,0.5,True,cox,Traditional CSA,0.1,1.0,1.0,1.0,inf,13.866421434757083,0.3,10,10
100,50,0.5,True,weibull,Traditional CSA,0.1,1.0,1.0,1.0,inf,13.866421434757083,0.3,10,10
100,50,0.5,True,rsf,Traditional CSA,0.1,1.0,1.0,1.0,inf,13.866421434757083,0.3,10,10
500,1,0.1,False,km,Traditional CSA,0.1,0.91,0.9090909090909091,0.9166666666666666,7.0001492695175305,15.801934811054217,0.8133333333333334,88,12
500,1,0.1,False,cox,Traditional CSA,0.1,0.98,0.9772727272727273,1.0,2.0102633690586442,31.592235950838568,0.7066666666666667,88,12
500,1,0.1,False,weibull,Traditional CSA,0.1,0.98,0.9772727272727273,1.0,2.5015145359148288,46.70049751488445,0.6233333333333333,88,12
500,1,0.1,False,rsf,Traditional CSA,0.1,0.98,0.9772727272727273,1.0,3.5733881597391086,55.07600567561453,0.5666666666666667,88,12
500,1,0.1,True,km,Traditional CSA,0.1,0.92,0.9090909090909091,1.0,6.924892705517194,15.615279810898604,0.8033333333333333,88,12
500,1,0.1,True,cox,Traditional CSA,0.1,0.96,0.9659090909090909,0.9166666666666666,2.1484719762015883,37.10407406469086,0.6533333333333333,88,12
500,1,0.1,True,weibull,Traditional CSA,0.1,0.95,0.9545454545454546,0.9166666666666666,2.043147970743508,55.729653083624434,0.5533333333333333,88,12
500,1,0.1,True,rsf,Traditional CSA,0.1,0.89,0.8863636363636364,0.9166666666666666,2.042023616258384,55.729653083624434,0.5533333333333333,88,12
500,50,0.1,False,km,Traditional CSA,0.1,0.94,0.9347826086956522,1.0,8.773565380533839,67.301232581391,0.5133333333333333,92,8
500,50,0.1,False,cox,Traditional CSA,0.1,0.93,0.9239130434782609,1.0,2.7484313321293605,67.301232581391,0.5133333333333333,92,8
500,50,0.1,False,weibull,Traditional CSA,0.1,0.9,0.9021739130434783,0.875,3.095852562269838,88.5626098398913,0.42333333333333334,92,8
500,50,0.1,False,rsf,Traditional CSA,0.1,0.93,0.9239130434782609,1.0,4.086011574198174,34.144279983876736,0.7133333333333334,92,8
500,50,0.1,True,km,Traditional CSA,0.1,0.95,0.9456521739130435,1.0,8.410191557099326,115.77596685819638,0.3233333333333333,92,8
500,50,0.1,True,cox,Traditional CSA,0.1,0.97,0.9891304347826086,0.75,2.7316826699428844,76.25784363472025,0.4633333333333333,92,8
500,50,0.1,True,weibull,Traditional CSA,0.1,0.98,0.9782608695652174,1.0,4.432648160320987,92.2047631209264,0.42,92,8
500,50,0.1,True,rsf,Traditional CSA,0.1,0.94,0.9456521739130435,0.875,4.347511489119071,76.25784363472025,0.4633333333333333,92,8
500,1,0.3,False,km,Traditional CSA,0.1,0.92,0.8823529411764706,1.0,2.483181375895525,5.1236865568587024,0.7966666666666666,68,32
500,1,0.3,False,cox,Traditional CSA,0.1,0.95,0.9411764705882353,0.96875,2.1197814482028163,23.998136754881312,0.35,68,32
500,1,0.3,False,weibull,Traditional CSA,0.1,0.95,0.9411764705882353,0.96875,1.94577072906883,30.298457174962724,0.3,68,32
500,1,0.3,False,rsf,Traditional CSA,0.1,0.95,0.9558823529411765,0.9375,3.4919484894746864,30.298457174962724,0.3,68,32
500,1,0.3,True,km,Traditional CSA,0.1,0.98,0.9710144927536232,1.0,7.920064209012917,26.469954426909258,0.3,69,31
500,1,0.3,True,cox,Traditional CSA,0.1,0.9,0.8695652173913043,0.967741935483871,1.9515715124692565,18.318368106134024,0.43666666666666665,69,31
500,1,0.3,True,weibull,Traditional CSA,0.1,0.92,0.8985507246376812,0.967741935483871,1.9883337941166637,18.318368106134024,0.43666666666666665,69,31
500,1,0.3,True,rsf,Traditional CSA,0.1,0.93,0.8985507246376812,1.0,2.714125477785732,18.318368106134024,0.43666666666666665,69,31
500,50,0.3,False,km,Traditional CSA,0.1,0.93,0.9142857142857143,0.9666666666666667,6.642489515371024,18.104441973280675,0.48,70,30
500,50,0.3,False,cox,Traditional CSA,0.1,0.92,0.8857142857142857,1.0,1.8581561323304367,20.75677012094708,0.4266666666666667,70,30
500,50,0.3,False,weibull,Traditional CSA,0.1,0.92,0.8857142857142857,1.0,1.7859481825515218,18.104441973280675,0.48,70,30
500,50,0.3,False,rsf,Traditional CSA,0.1,0.92,0.9,0.9666666666666667,3.6982333191541823,18.104441973280675,0.48,70,30
500,50,0.3,True,km,Traditional CSA,0.1,0.89,0.8472222222222222,1.0,2.6789464659447173,5.345966511084991,0.82,72,28
500,50,0.3,True,cox,Traditional CSA,0.1,0.87,0.8611111111111112,0.8928571428571429,1.5655738024199073,32.23893995609225,0.34,72,28
500,50,0.3,True,weibull,Traditional CSA,0.1,0.81,0.7777777777777778,0.8928571428571429,1.197808628930673,13.145173295641216,0.6133333333333333,72,28
500,50,0.3,True,rsf,Traditional CSA,0.1,0.87,0.8611111111111112,0.8928571428571429,4.326481357349898,32.23893995609225,0.34,72,28
500,1,0.5,False,km,Traditional CSA,0.1,0.85,0.7777777777777778,0.9347826086956522,2.3396787040664053,6.24221075932927,0.6066666666666667,54,46
500,1,0.5,False,cox,Traditional CSA,0.1,0.93,0.8703703703703703,1.0,1.7513881040345893,14.58747410101044,0.31333333333333335,54,46
500,1,0.5,False,weibull,Traditional CSA,0.1,0.93,0.8703703703703703,1.0,1.7004908127633132,14.58747410101044,0.31333333333333335,54,46
500,1,0.5,False,rsf,Traditional CSA,0.1,0.89,0.8333333333333334,0.9565217391304348,1.635205977122641,12.266940890451798,0.38,54,46
500,1,0.5,True,km,Traditional CSA,0.1,0.96,0.9130434782608695,1.0,5.825215934944055,10.135893432474287,0.4066666666666667,46,54
