n,p,cens_rate,hetero,model_type,c0_threshold,mean_weight,std_weight,min_weight,max_weight,mean_censor_prob,std_censor_prob
100,1,0.1,False,km,2.1542688886774397,1.9025225489018394,1.7828215455877847,0.5154639175257733,5.0,0.5266666666666667,0.3619056967406472
100,1,0.1,False,cox,2.1542688886774397,1.9025225489018394,1.7828215455877847,0.5154639175257733,5.0,0.5266666666666667,0.3619056967406472
100,1,0.1,False,weibull,2.1542688886774397,1.9025225489018394,1.7828215455877847,0.5154639175257733,5.0,0.5266666666666667,0.3619056967406472
100,1,0.1,False,rsf,2.1542688886774397,1.9025225489018394,1.7828215455877847,0.5154639175257733,5.0,0.5266666666666667,0.3619056967406472
100,1,0.1,True,km,2.134333401849651,1.588093597154161,1.337140823502733,0.5102040816326531,5.0,0.5086666666666667,0.300932273665244
100,1,0.1,True,cox,2.134333401849651,1.588093597154161,1.337140823502733,0.5102040816326531,5.0,0.5086666666666667,0.300932273665244
100,1,0.1,True,weibull,2.134333401849651,1.588093597154161,1.337140823502733,0.5102040816326531,5.0,0.5086666666666667,0.300932273665244
100,1,0.1,True,rsf,2.134333401849651,1.588093597154161,1.337140823502733,0.5102040816326531,5.0,0.5086666666666667,0.300932273665244
100,50,0.1,False,km,0.4648555102204027,1.98316142545139,1.575749839309082,0.5555555555555556,5.0,0.487,0.3276751440069875
100,50,0.1,False,cox,0.4648555102204027,1.98316142545139,1.575749839309082,0.5555555555555556,5.0,0.487,0.3276751440069875
100,50,0.1,False,weibull,0.4648555102204027,1.98316142545139,1.575749839309082,0.5555555555555556,5.0,0.487,0.3276751440069875
100,50,0.1,False,rsf,0.4648555102204027,1.98316142545139,1.575749839309082,0.5555555555555556,5.0,0.487,0.3276751440069875
100,50,0.1,True,km,0.3238540479403051,1.873248017870111,1.4235820093278662,0.5555555555555556,5.0,0.5090000000000001,0.34925492122517043
100,50,0.1,True,cox,0.3238540479403051,1.873248017870111,1.4235820093278662,0.5555555555555556,5.0,0.5090000000000001,0.34925492122517043
100,50,0.1,True,weibull,0.3238540479403051,1.873248017870111,1.4235820093278662,0.5555555555555556,5.0,0.5090000000000001,0.34925492122517043
100,50,0.1,True,rsf,0.3238540479403051,1.873248017870111,1.4235820093278662,0.5555555555555556,5.0,0.5090000000000001,0.34925492122517043
100,1,0.3,False,km,2.195634362076083,2.202185786443132,1.939375466442601,0.5163511187607573,5.0,0.5060738095238096,0.382914517578152
100,1,0.3,False,cox,2.195634362076083,2.202185786443132,1.939375466442601,0.5163511187607573,5.0,0.5060738095238096,0.382914517578152
