n,p,cens_rate,hetero,model_type,alpha,coverage,coverage_uncensored,coverage_censored,mean_width,width_cv,q_value
100,1,0.1,False,km,0.1,1.0,1.0,1.0,5.505633703794641,1.6132174196186846e-16,2.9859000294221443
100,1,0.1,False,cox,0.1,1.0,1.0,1.0,5.47117439321498,0.04398563795215242,2.9859000294221443
100,1,0.1,False,weibull,0.1,1.0,1.0,1.0,5.534766290568341,0.04372115751915561,3.1460025235225273
100,1,0.1,False,rsf,0.1,1.0,1.0,1.0,5.505281747492937,0.09651903754043567,3.051765182818999
100,1,0.1,True,km,0.1,0.85,0.8235294117647058,1.0,4.240361263654051,0.0,2.1201806318270253
100,1,0.1,True,cox,0.1,0.85,0.8235294117647058,1.0,4.2403612636540515,1.9870949196727486e-16,2.1201806318270253
100,1,0.1,True,weibull,0.1,0.9,0.8823529411764706,1.0,4.520704016143997,2.060584771771535e-16,2.260352008071998
100,1,0.1,True,rsf,0.1,0.95,0.9411764705882353,1.0,4.959143079974188,0.05411962791109687,2.571723589768075
100,50,0.1,False,km,0.1,0.9,0.8888888888888888,1.0,2.926297058605364,0.0,1.463148529302682
100,50,0.1,False,cox,0.1,0.8,0.8333333333333334,0.5,inf,,inf
100,50,0.1,False,weibull,0.1,0.9,0.9444444444444444,0.5,18.85394778360049,0.2763375128088185,14.515782820761114
100,50,0.1,False,rsf,0.1,0.95,0.9444444444444444,1.0,2.331725823941928,0.25312446586365,1.5233701720108026
100,50,0.1,True,km,0.1,1.0,1.0,1.0,6.273698095052312,1.4157175022505115e-16,5.64171335148201
100,50,0.1,True,cox,0.1,0.9,0.8823529411764706,1.0,8.223686747923285,0.2743870154663877,5.55545947272253
100,50,0.1,True,weibull,0.1,0.8,0.7647058823529411,1.0,4.626256725451379,0.2645749896547218,3.4205714746885985
100,50,0.1,True,rsf,0.1,0.95,0.9411764705882353,1.0,5.062034059356839,0.19838825796907145,3.944704375584167
100,1,0.3,False,km,0.1,0.8,0.7692307692307693,0.8571428571428571,3.721066540434994,0.0,1.8605332702174973
100,1,0.3,False,cox,0.1,0.95,0.9230769230769231,1.0,4.126156980099631,0.004235922882689118,2.0650833636424317
100,1,0.3,False,weibull,0.1,0.85,0.7692307692307693,1.0,3.7950409762290667,0.01695616173540974,1.9153340071252964
100,1,0.3,False,rsf,0.1,0.95,0.9230769230769231,1.0,4.545807147939738,0.11500296470116711,2.4880729882745802
100,1,0.3,True,km,0.1,1.0,1.0,1.0,4.401867604790336,2.017730880259925e-16,2.2009338023951677
100,1,0.3,True,cox,0.1,1.0,1.0,1.0,4.443985287812507,3.6852509160597047e-16,2.2219926439062525
100,1,0.3,True,weibull,0.1,1.0,1.0,1.0,4.316066164305187,1.8972370011736532e-16,2.158033082152594
100,1,0.3,True,rsf,0.1,1.0,1.0,1.0,5.316536151395281,0.08020052621997502,2.941367466984879
100,50,0.3,False,km,0.1,0.95,0.9285714285714286,1.0,4.062739701593815,2.186156349991343e-16,3.224338323579414
100,50,0.3,False,cox,0.1,0.7,0.7857142857142857,0.5,4.298538984114633,0.28027237639114116,2.808558754065788
100,50,0.3,False,weibull,0.1,0.85,0.9285714285714286,0.6666666666666666,27.876772398471644,0.2924593222971326,22.807553130129534
100,50,0.3,False,rsf,0.1,0.95,1.0,0.8333333333333334,2.88257228080158,0.283880774368402,1.8891195968714154
100,50,0.3,True,km,0.1,0.9,0.8461538461538461,1.0,3.524910857588355,2.5197188115780946e-16,1.762455428794178
100,50,0.3,True,cox,0.1,0.75,0.9230769230769231,0.42857142857142855,inf,,inf
100,50,0.3,True,weibull,0.1,0.95,0.9230769230769231,1.0,64.47659177322569,0.20761303674947618,57.94547720078454
100,50,0.3,True,rsf,0.1,0.9,1.0,0.7142857142857143,3.4347857520744136,0.25825227686201624,2.112601152975804
100,1,0.5,False,km,0.1,0.95,0.9,1.0,4.408967432657862,0.0,2.204483716328931
100,1,0.5,False,cox,0.1,0.95,0.9,1.0,4.522503373673255,1.9639088051773665e-16,2.2612516868366273
100,1,0.5,False,weibull,0.1,0.95,0.9,1.0,4.4120937430299225,0.009982865251043737,2.2242276061553836
100,1,0.5,False,rsf,0.1,1.0,1.0,1.0,4.668295278435034,0.12027698703082611,2.6097842878813315
100,1,0.5,True,km,0.1,0.95,0.9230769230769231,1.0,3.8765477206846883,2.291158225554495e-16,1.9382738603423448
100,1,0.5,True,cox,0.1,0.95,0.9230769230769231,1.0,3.8765477206846883,3.280439350114302e-16,1.9382738603423448
100,1,0.5,True,weibull,0.1,0.95,0.9230769230769231,1.0,3.9603817238486996,1.5857991155034005e-16,1.98019086192435
